Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck,Duracion
GEN,0.1,0.73855,0.738725,0.73855,0.737525,2.0,0.1,0.09965,0.0985,0.0997,0.09755,0.1037,0.09715,0.1016,0.10255,0.10020000000000001,0.0994,0 days 00:05:40.750000
LR,0.1,0.73715,0.738825,0.73715,0.736375,2.0,0.1,0.0996,0.0996,0.10155,0.09834999999999999,0.10239999999999999,0.09515,0.10250000000000001,0.0984,0.10255,0.0999,0 days 00:05:41.750000
LR-F,0.1,0.72195,0.726525,0.72195,0.721375,2.0,0.06,0.099575,0.09935,0.10200000000000001,0.095,0.10149999999999999,0.096925,0.10047500000000001,0.09834999999999999,0.10592499999999999,0.1009,0 days 00:03:50.250000
MEM,0.1,0.741275,0.743575,0.741275,0.741125,10.0,0.1,0.09705,0.0982,0.1035,0.1,0.1003,0.0974,0.10355,0.1005,0.0999,0.0996,0 days 00:28:24
MEM-F,0.1,0.741275,0.743575,0.741275,0.741125,10.0,0.1,0.09705,0.0982,0.1035,0.1,0.1003,0.0974,0.10355,0.1005,0.0999,0.0996,0 days 00:28:28.250000
PR,0.1,0.73855,0.738725,0.73855,0.737525,2.0,0.1,0.09965,0.0985,0.0997,0.09755,0.1037,0.09715,0.1016,0.10255,0.10020000000000001,0.0994,0 days 00:05:41.500000
RS,0.1,0.73855,0.738725,0.73855,0.737525,2.0,0.1,0.09965,0.0985,0.0997,0.09755,0.1037,0.09715,0.1016,0.10255,0.10020000000000001,0.0994,0 days 00:05:53.500000
WC,0.1,0.73855,0.738725,0.73855,0.737525,2.0,0.1,0.09965,0.0985,0.0997,0.09755,0.1037,0.09715,0.1016,0.10255,0.10020000000000001,0.0994,0 days 00:05:40.750000
WC-F,0.1,0.73855,0.738725,0.73855,0.737525,2.0,0.1,0.09965,0.0985,0.0997,0.09755,0.1037,0.09715,0.1016,0.10255,0.10020000000000001,0.0994,0 days 00:05:40.500000
