Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
100%,1.0,0 days 00:02:37.600000,0.786021505376344,0.8155220942752109,0.786021505376344,0.7768509940498091,1.0,0.86094975
RS,0.1,0 days 00:31:13,0.8134408602150538,0.8245873538280787,0.8134408602150538,0.8051766377463009,100.0,0.086094975
RS,0.25,0 days 01:03:36.200000,0.806989247311828,0.8189795179366506,0.806989247311828,0.7990355944572972,100.0,0.21523744000000003
RS,0.5,0 days 02:05:09.400000,0.8086021505376344,0.8265395978569685,0.8086021505376344,0.8021916023876716,100.0,0.43047488000000006
RS,0.75,0 days 02:50:13.800000,0.8225806451612904,0.841608900150842,0.8225806451612904,0.8166798965152093,100.0,0.6457123
LS,0.1,0 days 00:30:42.600000,0.8123655913978494,0.8181223495713663,0.8123655913978494,0.8061329483150554,100.0,0.086094975
LS,0.25,0 days 01:03:50.400000,0.824731182795699,0.8395115141401834,0.824731182795699,0.8176485582783025,100.0,0.21523744000000003
LS,0.5,0 days 01:58:58,0.80752688172043,0.8277157306048059,0.80752688172043,0.8009353201672363,100.0,0.43047488000000006
LS,0.75,0 days 02:51:28.200000,0.8236559139784946,0.8397027227275136,0.8236559139784946,0.8167039303600966,100.0,0.6457123
GA,0.1,0 days 00:30:29.800000,0.8150537634408602,0.8341992833249788,0.8150537634408602,0.8048536038158731,100.0,0.086094975
GA,0.25,0 days 01:02:59.800000,0.8134408602150538,0.8294820036736648,0.8134408602150538,0.8059459769920906,100.0,0.21523744000000003
GA,0.5,0 days 01:56:58.600000,0.8134408602150538,0.8296654824782017,0.8134408602150538,0.8075402797198856,100.0,0.43047488000000006
GA,0.75,0 days 02:50:00.800000,0.8279569892473118,0.8446825009692859,0.8279569892473118,0.8226116404814532,100.0,0.6457123
GA-WC,0.1,0 days 00:30:09.800000,0.8424731182795699,0.8468814141365353,0.8424731182795699,0.8364699687602204,100.0,0.086094975
GA-WC,0.25,0 days 01:01:48.600000,0.8274193548387097,0.8435464086814293,0.8274193548387097,0.8212675313210724,100.0,0.21523744000000003
GA-WC,0.5,0 days 01:56:02.200000,0.8172043010752688,0.8349124693679784,0.8172043010752688,0.8111926428172186,100.0,0.43047488000000006
GA-WC,0.75,0 days 02:49:34.800000,0.8258064516129032,0.8424431488508622,0.8258064516129032,0.819635031036633,100.0,0.6457123
GA-PR,0.1,0 days 00:30:05.400000,0.8327956989247312,0.839597008598209,0.8327956989247312,0.8248555367569695,101.8,0.086094975
GA-PR,0.25,0 days 01:02:18,0.8193548387096774,0.831208347227177,0.8193548387096774,0.8128271110035701,101.8,0.21523744000000003
GA-PR,0.5,0 days 01:56:19.200000,0.817741935483871,0.8339091009861959,0.817741935483871,0.8114730803103345,105.4,0.43047488000000006
GA-PR,0.75,0 days 02:46:54,0.8279569892473118,0.8453559010078926,0.8279569892473118,0.8209235001753005,100.0,0.6457123
MA,0.1,0 days 00:29:55,0.8247311827956988,0.8338029409032466,0.8247311827956988,0.8162762376777175,100.0,0.086094975
MA,0.25,0 days 01:02:10.600000,0.8188172043010752,0.8296088123826355,0.8188172043010752,0.8130306027739417,100.0,0.21523744000000003
MA,0.5,0 days 01:55:53.800000,0.810752688172043,0.8312862408394757,0.810752688172043,0.8038402566405167,100.0,0.43047488000000006
MA,0.75,0 days 02:48:48.800000,0.8252688172043012,0.8419754899576404,0.8252688172043012,0.8180241040675748,100.0,0.6457123
